Event Title,Ticket Master Average Ticket Prices
Def Leppard/Mötley Crüe/Poison/Joan Jett and the Blackhearts,399.5
Billy Joel,158.0
Bad Bunny: World's Hottest Tour ,575.0
Pearl Jam,109.0
Def Leppard/Mötley Crüe/Poison/Joan Jett and the Blackhearts,407.0
Mötley Crüe/Def Leppard/Poison/Joan Jett and the Blackhearts,424.5
Red Hot Chili Peppers 2022 World Tour,184.0
 Kenny Chesney: Here and Now Tour,185.0
Bad Bunny: World's Hottest Tour ,540.5
Luke Combs Stadium Tour,71.0
Red Hot Chili Peppers 2022 World Tour,169.5
Red Hot Chili Peppers 2022 World Tour,170.0
Elton John: Farewell Yellow Brick Road The Final Tour,146.5
Red Hot Chili Peppers 2022 World Tour,168.5
Def Leppard/Mötley Crüe/Poison/Joan Jett and the Blackhearts,649.5
Mötley Crüe/Def Leppard/Poison/Joan Jett and the Blackhearts,412.0
Elton John: Farewell Yellow Brick Road The Final Tour,148.0
Garth Brooks,91.0
Elton John: Farewell Yellow Brick Road The Final Tour,147.0
Bad Bunny: World's Hottest Tour ,539.5
Coldplay - MUSIC OF THE SPHERES WORLD TOUR,104.0
Rammstein - North America Stadium Tour,99.0
Kenny Chesney: Here and Now Tour,147.0
Justin Bieber,134.0
Red Hot Chili Peppers 2022 World Tour,176.5
Red Hot Chili Peppers 2022 World Tour,170.0
Bad Bunny: World's Hottest Tour ,536.0
Coldplay - MUSIC OF THE SPHERES WORLD TOUR,112.5
Kenny Chesney: Here and Now Tour,180.0
Coldplay - MUSIC OF THE SPHERES WORLD TOUR,104.0
Lady Gaga: The Chromatica Ball,252.5
Olivia Rodrigo - Sour Tour,49.0
Phish,117.5
The Weeknd - After Hours Til Dawn Tour,192.0
Eric Church with Morgan Wallen,237.5
Mötley Crüe/Def Leppard/Poison/Joan Jett and the Blackhearts,419.0
Coldplay - MUSIC OF THE SPHERES WORLD TOUR,109.0
Kenny Chesney: Here and Now Tour,276.5
Garth Brooks,84.0
Red Hot Chili Peppers 2022 World Tour,190.0
Rammstein - North America Stadium Tour,99.0
Mötley Crüe/Def Leppard/Poison/Joan Jett and the Blackhearts,2159.5
Mötley Crüe/Def Leppard/Poison/Joan Jett and the Blackhearts,414.5
George Strait,268.5
Def Leppard/Mötley Crüe/Poison/Joan Jett and the Blackhearts,438.0
Kenny Chesney: Here and Now Tour,173.5
Def Leppard/Mötley Crüe/Poison/Joan Jett and the Blackhearts,412.0
Bad Bunny: World's Hottest Tour ,594.0
Bad Bunny: World's Hottest Tour ,527.0
Justin Bieber,135.0
Garth Brooks,84.0
Red Hot Chili Peppers 2022 World Tour,174.5
